Edad;Sexo;Total
Todas las edades;Ambos sexos;4.003
Todas las edades;Hombres;2.982
Todas las edades;Mujeres;1.021
Menores de 15 años;Ambos sexos;22
Menores de 15 años;Hombres;14
Menores de 15 años;Mujeres;8
De 15 a 29 años;Ambos sexos;316
De 15 a 29 años;Hombres;237
De 15 a 29 años;Mujeres;79
De 30 a 39 años;Ambos sexos;414
De 30 a 39 años;Hombres;315
De 30 a 39 años;Mujeres;99
De 40 a 44 años;Ambos sexos;355
De 40 a 44 años;Hombres;281
De 40 a 44 años;Mujeres;74
De 45 a 49 años;Ambos sexos;438
De 45 a 49 años;Hombres;318
De 45 a 49 años;Mujeres;120
De 50 a 54 años;Ambos sexos;460
De 50 a 54 años;Hombres;323
De 50 a 54 años;Mujeres;137
De 55 a 59 años;Ambos sexos;407
De 55 a 59 años;Hombres;305
De 55 a 59 años;Mujeres;102
De 60 a 64 años;Ambos sexos;356
De 60 a 64 años;Hombres;268
De 60 a 64 años;Mujeres;88
De 65 a 69 años;Ambos sexos;236
De 65 a 69 años;Hombres;161
De 65 a 69 años;Mujeres;75
De 70 a 74 años;Ambos sexos;218
De 70 a 74 años;Hombres;162
De 70 a 74 años;Mujeres;56
De 75 a 79 años;Ambos sexos;262
De 75 a 79 años;Hombres;197
De 75 a 79 años;Mujeres;65
De 80 a 84 años;Ambos sexos;227
De 80 a 84 años;Hombres;168
De 80 a 84 años;Mujeres;59
De 85 a 89 años;Ambos sexos;182
De 85 a 89 años;Hombres;141
De 85 a 89 años;Mujeres;41
De 90 a 94 años;Ambos sexos;89
De 90 a 94 años;Hombres;74
De 90 a 94 años;Mujeres;15
De 95 años y más;Ambos sexos;21
De 95 años y más;Hombres;18
De 95 años y más;Mujeres;3
