Comunidades y ciudades autónomas de residencia;Sexo;Edad;Total
Andalucía;Ambos sexos;Todas las edades;793
Andalucía;Ambos sexos;Menores de 15 años;2
Andalucía;Ambos sexos;De 15 a 29 años;67
Andalucía;Ambos sexos;De 30 a 39 años;72
Andalucía;Ambos sexos;De 40 a 44 años;76
Andalucía;Ambos sexos;De 45 a 49 años;80
Andalucía;Ambos sexos;De 50 a 54 años;90
Andalucía;Ambos sexos;De 55 a 59 años;87
Andalucía;Ambos sexos;De 60 a 64 años;58
Andalucía;Ambos sexos;De 65 a 69 años;52
Andalucía;Ambos sexos;De 70 a 74 años;61
Andalucía;Ambos sexos;De 75 a 79 años;50
Andalucía;Ambos sexos;De 80 a 84 años;41
Andalucía;Ambos sexos;De 85 a 89 años;40
Andalucía;Ambos sexos;De 90 a 94 años;14
Andalucía;Ambos sexos;De 95 años y más;3
Andalucía;Hombres;Todas las edades;576
Andalucía;Hombres;Menores de 15 años;0
Andalucía;Hombres;De 15 a 29 años;48
Andalucía;Hombres;De 30 a 39 años;59
Andalucía;Hombres;De 40 a 44 años;57
Andalucía;Hombres;De 45 a 49 años;59
Andalucía;Hombres;De 50 a 54 años;65
Andalucía;Hombres;De 55 a 59 años;50
Andalucía;Hombres;De 60 a 64 años;44
Andalucía;Hombres;De 65 a 69 años;38
Andalucía;Hombres;De 70 a 74 años;47
Andalucía;Hombres;De 75 a 79 años;35
Andalucía;Hombres;De 80 a 84 años;31
Andalucía;Hombres;De 85 a 89 años;30
Andalucía;Hombres;De 90 a 94 años;11
Andalucía;Hombres;De 95 años y más;2
Andalucía;Mujeres;Todas las edades;217
Andalucía;Mujeres;Menores de 15 años;2
Andalucía;Mujeres;De 15 a 29 años;19
Andalucía;Mujeres;De 30 a 39 años;13
Andalucía;Mujeres;De 40 a 44 años;19
Andalucía;Mujeres;De 45 a 49 años;21
Andalucía;Mujeres;De 50 a 54 años;25
Andalucía;Mujeres;De 55 a 59 años;37
Andalucía;Mujeres;De 60 a 64 años;14
Andalucía;Mujeres;De 65 a 69 años;14
Andalucía;Mujeres;De 70 a 74 años;14
Andalucía;Mujeres;De 75 a 79 años;15
Andalucía;Mujeres;De 80 a 84 años;10
Andalucía;Mujeres;De 85 a 89 años;10
Andalucía;Mujeres;De 90 a 94 años;3
Andalucía;Mujeres;De 95 años y más;1
Aragón;Ambos sexos;Todas las edades;102
Aragón;Ambos sexos;Menores de 15 años;1
Aragón;Ambos sexos;De 15 a 29 años;11
Aragón;Ambos sexos;De 30 a 39 años;14
Aragón;Ambos sexos;De 40 a 44 años;11
Aragón;Ambos sexos;De 45 a 49 años;6
Aragón;Ambos sexos;De 50 a 54 años;9
Aragón;Ambos sexos;De 55 a 59 años;10
Aragón;Ambos sexos;De 60 a 64 años;7
Aragón;Ambos sexos;De 65 a 69 años;3
Aragón;Ambos sexos;De 70 a 74 años;4
Aragón;Ambos sexos;De 75 a 79 años;7
Aragón;Ambos sexos;De 80 a 84 años;4
Aragón;Ambos sexos;De 85 a 89 años;10
Aragón;Ambos sexos;De 90 a 94 años;3
Aragón;Ambos sexos;De 95 años y más;2
Aragón;Hombres;Todas las edades;69
Aragón;Hombres;Menores de 15 años;1
Aragón;Hombres;De 15 a 29 años;8
Aragón;Hombres;De 30 a 39 años;10
Aragón;Hombres;De 40 a 44 años;6
Aragón;Hombres;De 45 a 49 años;3
Aragón;Hombres;De 50 a 54 años;5
Aragón;Hombres;De 55 a 59 años;6
Aragón;Hombres;De 60 a 64 años;6
Aragón;Hombres;De 65 a 69 años;1
Aragón;Hombres;De 70 a 74 años;3
Aragón;Hombres;De 75 a 79 años;5
Aragón;Hombres;De 80 a 84 años;2
Aragón;Hombres;De 85 a 89 años;9
Aragón;Hombres;De 90 a 94 años;3
Aragón;Hombres;De 95 años y más;1
Aragón;Mujeres;Todas las edades;33
Aragón;Mujeres;Menores de 15 años;0
Aragón;Mujeres;De 15 a 29 años;3
Aragón;Mujeres;De 30 a 39 años;4
Aragón;Mujeres;De 40 a 44 años;5
Aragón;Mujeres;De 45 a 49 años;3
Aragón;Mujeres;De 50 a 54 años;4
Aragón;Mujeres;De 55 a 59 años;4
Aragón;Mujeres;De 60 a 64 años;1
Aragón;Mujeres;De 65 a 69 años;2
Aragón;Mujeres;De 70 a 74 años;1
Aragón;Mujeres;De 75 a 79 años;2
