Comunidades y ciudades autónomas de residencia;Sexo;Edad;Total
Asturias, Principado de;Hombres;Menores de 15 años;0
Asturias, Principado de;Hombres;De 15 a 29 años;4
Asturias, Principado de;Hombres;De 30 a 39 años;7
Asturias, Principado de;Hombres;De 40 a 44 años;6
Asturias, Principado de;Hombres;De 45 a 49 años;5
Asturias, Principado de;Hombres;De 50 a 54 años;8
Asturias, Principado de;Hombres;De 55 a 59 años;7
Asturias, Principado de;Hombres;De 60 a 64 años;7
Asturias, Principado de;Hombres;De 65 a 69 años;9
Asturias, Principado de;Hombres;De 70 a 74 años;9
Asturias, Principado de;Hombres;De 75 a 79 años;6
Asturias, Principado de;Hombres;De 80 a 84 años;13
Asturias, Principado de;Hombres;De 85 a 89 años;11
Asturias, Principado de;Hombres;De 90 a 94 años;4
Asturias, Principado de;Hombres;De 95 años y más;1
Asturias, Principado de;Mujeres;Todas las edades;41
Asturias, Principado de;Mujeres;Menores de 15 años;0
Asturias, Principado de;Mujeres;De 15 a 29 años;1
Asturias, Principado de;Mujeres;De 30 a 39 años;1
Asturias, Principado de;Mujeres;De 40 a 44 años;3
Asturias, Principado de;Mujeres;De 45 a 49 años;9
Asturias, Principado de;Mujeres;De 50 a 54 años;4
Asturias, Principado de;Mujeres;De 55 a 59 años;5
Asturias, Principado de;Mujeres;De 60 a 64 años;4
Asturias, Principado de;Mujeres;De 65 a 69 años;1
Asturias, Principado de;Mujeres;De 70 a 74 años;5
Asturias, Principado de;Mujeres;De 75 a 79 años;1
Asturias, Principado de;Mujeres;De 80 a 84 años;4
Asturias, Principado de;Mujeres;De 85 a 89 años;2
Asturias, Principado de;Mujeres;De 90 a 94 años;1
Asturias, Principado de;Mujeres;De 95 años y más;0
Balears, Illes;Ambos sexos;Todas las edades;71
Balears, Illes;Ambos sexos;Menores de 15 años;0
Balears, Illes;Ambos sexos;De 15 a 29 años;12
Balears, Illes;Ambos sexos;De 30 a 39 años;9
Balears, Illes;Ambos sexos;De 40 a 44 años;5
Balears, Illes;Ambos sexos;De 45 a 49 años;12
Balears, Illes;Ambos sexos;De 50 a 54 años;7
Balears, Illes;Ambos sexos;De 55 a 59 años;4
Balears, Illes;Ambos sexos;De 60 a 64 años;4
Balears, Illes;Ambos sexos;De 65 a 69 años;4
Balears, Illes;Ambos sexos;De 70 a 74 años;6
Balears, Illes;Ambos sexos;De 75 a 79 años;3
Balears, Illes;Ambos sexos;De 80 a 84 años;2
Balears, Illes;Ambos sexos;De 85 a 89 años;3
Balears, Illes;Ambos sexos;De 90 a 94 años;0
Balears, Illes;Ambos sexos;De 95 años y más;0
Balears, Illes;Hombres;Todas las edades;54
Balears, Illes;Hombres;Menores de 15 años;0
Balears, Illes;Hombres;De 15 a 29 años;7
Balears, Illes;Hombres;De 30 a 39 años;7
Balears, Illes;Hombres;De 40 a 44 años;4
Balears, Illes;Hombres;De 45 a 49 años;11
Balears, Illes;Hombres;De 50 a 54 años;6
Balears, Illes;Hombres;De 55 a 59 años;2
Balears, Illes;Hombres;De 60 a 64 años;3
Balears, Illes;Hombres;De 65 a 69 años;3
Balears, Illes;Hombres;De 70 a 74 años;6
Balears, Illes;Hombres;De 75 a 79 años;2
Balears, Illes;Hombres;De 80 a 84 años;1
Balears, Illes;Hombres;De 85 a 89 años;2
Balears, Illes;Hombres;De 90 a 94 años;0
Balears, Illes;Hombres;De 95 años y más;0
Balears, Illes;Mujeres;Todas las edades;17
Balears, Illes;Mujeres;Menores de 15 años;0
Balears, Illes;Mujeres;De 15 a 29 años;5
Balears, Illes;Mujeres;De 30 a 39 años;2
Balears, Illes;Mujeres;De 40 a 44 años;1
Balears, Illes;Mujeres;De 45 a 49 años;1
Balears, Illes;Mujeres;De 50 a 54 años;1
Balears, Illes;Mujeres;De 55 a 59 años;2
Balears, Illes;Mujeres;De 60 a 64 años;1
Balears, Illes;Mujeres;De 65 a 69 años;1
Balears, Illes;Mujeres;De 70 a 74 años;0
Balears, Illes;Mujeres;De 75 a 79 años;1
Balears, Illes;Mujeres;De 80 a 84 años;1
Balears, Illes;Mujeres;De 85 a 89 años;1
Balears, Illes;Mujeres;De 90 a 94 años;0
Balears, Illes;Mujeres;De 95 años y más;0
Canarias;Ambos sexos;Todas las edades;193
Canarias;Ambos sexos;Menores de 15 años;0
Canarias;Ambos sexos;De 15 a 29 años;11
Canarias;Ambos sexos;De 30 a 39 años;33
Canarias;Ambos sexos;De 40 a 44 años;21
Canarias;Ambos sexos;De 45 a 49 años;26
Canarias;Ambos sexos;De 50 a 54 años;20
Canarias;Ambos sexos;De 55 a 59 años;17
Canarias;Ambos sexos;De 60 a 64 años;26
Canarias;Ambos sexos;De 65 a 69 años;10
Canarias;Ambos sexos;De 70 a 74 años;11
Canarias;Ambos sexos;De 75 a 79 años;6
Canarias;Ambos sexos;De 80 a 84 años;6
Canarias;Ambos sexos;De 85 a 89 años;3
Canarias;Ambos sexos;De 90 a 94 años;3
Canarias;Ambos sexos;De 95 años y más;0
Canarias;Hombres;Todas las edades;154
Canarias;Hombres;Menores de 15 años;0
Canarias;Hombres;De 15 a 29 años;9
Canarias;Hombres;De 30 a 39 años;27
Canarias;Hombres;De 40 a 44 años;19
Canarias;Hombres;De 45 a 49 años;25
Canarias;Hombres;De 50 a 54 años;15
Canarias;Hombres;De 55 a 59 años;17
Canarias;Hombres;De 60 a 64 años;18
Canarias;Hombres;De 65 a 69 años;5
Canarias;Hombres;De 70 a 74 años;7
Canarias;Hombres;De 75 a 79 años;5
Canarias;Hombres;De 80 a 84 años;3
Canarias;Hombres;De 85 a 89 años;2
Canarias;Hombres;De 90 a 94 años;2
Canarias;Hombres;De 95 años y más;0
Canarias;Mujeres;Todas las edades;39
Canarias;Mujeres;Menores de 15 años;0
Canarias;Mujeres;De 15 a 29 años;2
Canarias;Mujeres;De 30 a 39 años;6
Canarias;Mujeres;De 40 a 44 años;2
Canarias;Mujeres;De 45 a 49 años;1
Canarias;Mujeres;De 50 a 54 años;5
Canarias;Mujeres;De 55 a 59 años;0
Canarias;Mujeres;De 60 a 64 años;8
Canarias;Mujeres;De 65 a 69 años;5
Canarias;Mujeres;De 70 a 74 años;4
Canarias;Mujeres;De 75 a 79 años;1
Canarias;Mujeres;De 80 a 84 años;3
Canarias;Mujeres;De 85 a 89 años;1
Canarias;Mujeres;De 90 a 94 años;1
Canarias;Mujeres;De 95 años y más;0
Cantabria;Ambos sexos;Todas las edades;28
Cantabria;Ambos sexos;Menores de 15 años;0
Cantabria;Ambos sexos;De 15 a 29 años;1
Cantabria;Ambos sexos;De 30 a 39 años;4
Cantabria;Ambos sexos;De 40 a 44 años;1
Cantabria;Ambos sexos;De 45 a 49 años;4
Cantabria;Ambos sexos;De 50 a 54 años;3
Cantabria;Ambos sexos;De 55 a 59 años;8
Cantabria;Ambos sexos;De 60 a 64 años;1
Cantabria;Ambos sexos;De 65 a 69 años;1
Cantabria;Ambos sexos;De 70 a 74 años;2
Cantabria;Ambos sexos;De 75 a 79 años;3
Cantabria;Ambos sexos;De 80 a 84 años;0
Cantabria;Ambos sexos;De 85 a 89 años;0
Cantabria;Ambos sexos;De 90 a 94 años;0
Cantabria;Ambos sexos;De 95 años y más;0
Cantabria;Hombres;Todas las edades;23
Cantabria;Hombres;Menores de 15 años;0
Cantabria;Hombres;De 15 a 29 años;1
Cantabria;Hombres;De 30 a 39 años;4
