Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;Cataluña;Mujeres;De 80 a 84 años;9
Total Nacional;Cataluña;Mujeres;De 85 a 89 años;8
Total Nacional;Cataluña;Mujeres;De 90 a 94 años;3
Total Nacional;Cataluña;Mujeres;De 95 años y más;1
Total Nacional;Comunitat Valenciana;Ambos sexos;Todas las edades;4
Total Nacional;Comunitat Valenciana;Ambos sexos;Menores de 15 años;3
Total Nacional;Comunitat Valenciana;Ambos sexos;De 15 a 29 años;30
Total Nacional;Comunitat Valenciana;Ambos sexos;De 30 a 39 años;34
Total Nacional;Comunitat Valenciana;Ambos sexos;De 40 a 44 años;40
Total Nacional;Comunitat Valenciana;Ambos sexos;De 45 a 49 años;39
Total Nacional;Comunitat Valenciana;Ambos sexos;De 50 a 54 años;63
Total Nacional;Comunitat Valenciana;Ambos sexos;De 55 a 59 años;51
Total Nacional;Comunitat Valenciana;Ambos sexos;De 60 a 64 años;35
Total Nacional;Comunitat Valenciana;Ambos sexos;De 65 a 69 años;25
Total Nacional;Comunitat Valenciana;Ambos sexos;De 70 a 74 años;20
Total Nacional;Comunitat Valenciana;Ambos sexos;De 75 a 79 años;19
Total Nacional;Comunitat Valenciana;Ambos sexos;De 80 a 84 años;18
Total Nacional;Comunitat Valenciana;Ambos sexos;De 85 a 89 años;17
Total Nacional;Comunitat Valenciana;Ambos sexos;De 90 a 94 años;8
Total Nacional;Comunitat Valenciana;Ambos sexos;De 95 años y más;1
Total Nacional;Comunitat Valenciana;Hombres;Todas las edades;299
Total Nacional;Comunitat Valenciana;Hombres;Menores de 15 años;2
Total Nacional;Comunitat Valenciana;Hombres;De 15 a 29 años;23
Total Nacional;Comunitat Valenciana;Hombres;De 30 a 39 años;28
Total Nacional;Comunitat Valenciana;Hombres;De 40 a 44 años;34
Total Nacional;Comunitat Valenciana;Hombres;De 45 a 49 años;28
Total Nacional;Comunitat Valenciana;Hombres;De 50 a 54 años;48
Total Nacional;Comunitat Valenciana;Hombres;De 55 a 59 años;40
Total Nacional;Comunitat Valenciana;Hombres;De 60 a 64 años;23
Total Nacional;Comunitat Valenciana;Hombres;De 65 a 69 años;15
Total Nacional;Comunitat Valenciana;Hombres;De 70 a 74 años;13
Total Nacional;Comunitat Valenciana;Hombres;De 75 a 79 años;8
Total Nacional;Comunitat Valenciana;Hombres;De 80 a 84 años;14
Total Nacional;Comunitat Valenciana;Hombres;De 85 a 89 años;15
Total Nacional;Comunitat Valenciana;Hombres;De 90 a 94 años;7
Total Nacional;Comunitat Valenciana;Hombres;De 95 años y más;1
Total Nacional;Comunitat Valenciana;Mujeres;Todas las edades;104
Total Nacional;Comunitat Valenciana;Mujeres;Menores de 15 años;1
Total Nacional;Comunitat Valenciana;Mujeres;De 15 a 29 años;7
Total Nacional;Comunitat Valenciana;Mujeres;De 30 a 39 años;6
Total Nacional;Comunitat Valenciana;Mujeres;De 40 a 44 años;6
Total Nacional;Comunitat Valenciana;Mujeres;De 45 a 49 años;11
Total Nacional;Comunitat Valenciana;Mujeres;De 50 a 54 años;15
Total Nacional;Comunitat Valenciana;Mujeres;De 55 a 59 años;11
Total Nacional;Comunitat Valenciana;Mujeres;De 60 a 64 años;12
Total Nacional;Comunitat Valenciana;Mujeres;De 65 a 69 años;10
Total Nacional;Comunitat Valenciana;Mujeres;De 70 a 74 años;7
Total Nacional;Comunitat Valenciana;Mujeres;De 75 a 79 años;11
Total Nacional;Comunitat Valenciana;Mujeres;De 80 a 84 años;4
Total Nacional;Comunitat Valenciana;Mujeres;De 85 a 89 años;2
Total Nacional;Comunitat Valenciana;Mujeres;De 90 a 94 años;1
Total Nacional;Comunitat Valenciana;Mujeres;De 95 años y más;0
Total Nacional;Extremadura;Ambos sexos;Todas las edades;81
Total Nacional;Extremadura;Ambos sexos;Menores de 15 años;0
Total Nacional;Extremadura;Ambos sexos;De 15 a 29 años;3
Total Nacional;Extremadura;Ambos sexos;De 30 a 39 años;8
Total Nacional;Extremadura;Ambos sexos;De 40 a 44 años;10
Total Nacional;Extremadura;Ambos sexos;De 45 a 49 años;5
Total Nacional;Extremadura;Ambos sexos;De 50 a 54 años;14
Total Nacional;Extremadura;Ambos sexos;De 55 a 59 años;8
Total Nacional;Extremadura;Ambos sexos;De 60 a 64 años;9
Total Nacional;Extremadura;Ambos sexos;De 65 a 69 años;5
Total Nacional;Extremadura;Ambos sexos;De 70 a 74 años;5
Total Nacional;Extremadura;Ambos sexos;De 75 a 79 años;4
Total Nacional;Extremadura;Ambos sexos;De 80 a 84 años;2
Total Nacional;Extremadura;Ambos sexos;De 85 a 89 años;5
Total Nacional;Extremadura;Ambos sexos;De 90 a 94 años;3
Total Nacional;Extremadura;Ambos sexos;De 95 años y más;0
Total Nacional;Extremadura;Hombres;Todas las edades;63
Total Nacional;Extremadura;Hombres;Menores de 15 años;0
Total Nacional;Extremadura;Hombres;De 15 a 29 años;1
Total Nacional;Extremadura;Hombres;De 30 a 39 años;7
Total Nacional;Extremadura;Hombres;De 40 a 44 años;7
Total Nacional;Extremadura;Hombres;De 45 a 49 años;4
Total Nacional;Extremadura;Hombres;De 50 a 54 años;9
Total Nacional;Extremadura;Hombres;De 55 a 59 años;6
Total Nacional;Extremadura;Hombres;De 60 a 64 años;7
Total Nacional;Extremadura;Hombres;De 65 a 69 años;4
Total Nacional;Extremadura;Hombres;De 70 a 74 años;5
Total Nacional;Extremadura;Hombres;De 75 a 79 años;4
Total Nacional;Extremadura;Hombres;De 80 a 84 años;2
Total Nacional;Extremadura;Hombres;De 85 a 89 años;4
Total Nacional;Extremadura;Hombres;De 90 a 94 años;3
Total Nacional;Extremadura;Hombres;De 95 años y más;0
Total Nacional;Extremadura;Mujeres;Todas las edades;18
Total Nacional;Extremadura;Mujeres;Menores de 15 años;0
Total Nacional;Extremadura;Mujeres;De 15 a 29 años;2
Total Nacional;Extremadura;Mujeres;De 30 a 39 años;1
Total Nacional;Extremadura;Mujeres;De 40 a 44 años;3
Total Nacional;Extremadura;Mujeres;De 45 a 49 años;1
Total Nacional;Extremadura;Mujeres;De 50 a 54 años;5
Total Nacional;Extremadura;Mujeres;De 55 a 59 años;2
Total Nacional;Extremadura;Mujeres;De 60 a 64 años;2
Total Nacional;Extremadura;Mujeres;De 65 a 69 años;1
Total Nacional;Extremadura;Mujeres;De 70 a 74 años;0
Total Nacional;Extremadura;Mujeres;De 75 a 79 años;0
Total Nacional;Extremadura;Mujeres;De 80 a 84 años;0
Total Nacional;Extremadura;Mujeres;De 85 a 89 años;1
Total Nacional;Extremadura;Mujeres;De 90 a 94 años;0
Total Nacional;Extremadura;Mujeres;De 95 años y más;0
Total Nacional;Galicia;Ambos sexos;Todas las edades;337
Total Nacional;Galicia;Ambos sexos;Menores de 15 años;1
Total Nacional;Galicia;Ambos sexos;De 15 a 29 años;23
Total Nacional;Galicia;Ambos sexos;De 30 a 39 años;30
Total Nacional;Galicia;Ambos sexos;De 40 a 44 años;21
Total Nacional;Galicia;Ambos sexos;De 45 a 49 años;31
Total Nacional;Galicia;Ambos sexos;De 50 a 54 años;35
Total Nacional;Galicia;Ambos sexos;De 55 a 59 años;32
Total Nacional;Galicia;Ambos sexos;De 60 a 64 años;35
Total Nacional;Galicia;Ambos sexos;De 65 a 69 años;17
Total Nacional;Galicia;Ambos sexos;De 70 a 74 años;19
Total Nacional;Galicia;Ambos sexos;De 75 a 79 años;36
Total Nacional;Galicia;Ambos sexos;De 80 a 84 años;25
Total Nacional;Galicia;Ambos sexos;De 85 a 89 años;21
Total Nacional;Galicia;Ambos sexos;De 90 a 94 años;9
Total Nacional;Galicia;Ambos sexos;De 95 años y más;2
Total Nacional;Galicia;Hombres;Todas las edades;228
Total Nacional;Galicia;Hombres;Menores de 15 años;0
Total Nacional;Galicia;Hombres;De 15 a 29 años;14
Total Nacional;Galicia;Hombres;De 30 a 39 años;21
Total Nacional;Galicia;Hombres;De 40 a 44 años;15
Total Nacional;Galicia;Hombres;De 45 a 49 años;18
Total Nacional;Galicia;Hombres;De 50 a 54 años;26
Total Nacional;Galicia;Hombres;De 55 a 59 años;26
Total Nacional;Galicia;Hombres;De 60 a 64 años;24
Total Nacional;Galicia;Hombres;De 65 a 69 años;8
Total Nacional;Galicia;Hombres;De 70 a 74 años;14
Total Nacional;Galicia;Hombres;De 75 a 79 años;23
Total Nacional;Galicia;Hombres;De 80 a 84 años;18
Total Nacional;Galicia;Hombres;De 85 a 89 años;13
Total Nacional;Galicia;Hombres;De 90 a 94 años;7
Total Nacional;Galicia;Hombres;De 95 años y más;1
Total Nacional;Galicia;Mujeres;Todas las edades;109
Total Nacional;Galicia;Mujeres;Menores de 15 años;1
Total Nacional;Galicia;Mujeres;De 15 a 29 años;9
Total Nacional;Galicia;Mujeres;De 30 a 39 años;9
Total Nacional;Galicia;Mujeres;De 40 a 44 años;6
Total Nacional;Galicia;Mujeres;De 45 a 49 años;13
Total Nacional;Galicia;Mujeres;De 50 a 54 años;9
Total Nacional;Galicia;Mujeres;De 55 a 59 años;6
Total Nacional;Galicia;Mujeres;De 60 a 64 años;11
Total Nacional;Galicia;Mujeres;De 65 a 69 años;9
Total Nacional;Galicia;Mujeres;De 70 a 74 años;5
Total Nacional;Galicia;Mujeres;De 75 a 79 años;13
Total Nacional;Galicia;Mujeres;De 80 a 84 años;7
Total Nacional;Galicia;Mujeres;De 85 a 89 años;8
Total Nacional;Galicia;Mujeres;De 90 a 94 años;2
Total Nacional;Galicia;Mujeres;De 95 años y más;1
Total Nacional;Madrid, Comunidad de;Ambos sexos;Todas las edades;348
Total Nacional;Madrid, Comunidad de;Ambos sexos;Menores de 15 años;5
Total Nacional;Madrid, Comunidad de;Ambos sexos;De 15 a 29 años;33
Total Nacional;Madrid, Comunidad de;Ambos sexos;De 30 a 39 años;47
Total Nacional;Madrid, Comunidad de;Ambos sexos;De 40 a 44 años;28
Total Nacional;Madrid, Comunidad de;Ambos sexos;De 45 a 49 años;38
Total Nacional;Madrid, Comunidad de;Ambos sexos;De 50 a 54 años;39
Total Nacional;Madrid, Comunidad de;Ambos sexos;De 55 a 59 años;34
Total Nacional;Madrid, Comunidad de;Ambos sexos;De 60 a 64 años;19
Total Nacional;Madrid, Comunidad de;Ambos sexos;De 65 a 69 años;24
Total Nacional;Madrid, Comunidad de;Ambos sexos;De 70 a 74 años;17
Total Nacional;Madrid, Comunidad de;Ambos sexos;De 75 a 79 años;20
Total Nacional;Madrid, Comunidad de;Ambos sexos;De 80 a 84 años;14
Total Nacional;Madrid, Comunidad de;Ambos sexos;De 85 a 89 años;14
Total Nacional;Madrid, Comunidad de;Ambos sexos;De 90 a 94 años;12
Total Nacional;Madrid, Comunidad de;Ambos sexos;De 95 años y más;4
Total Nacional;Madrid, Comunidad de;Hombres;Todas las edades;253
Total Nacional;Madrid, Comunidad de;Hombres;Menores de 15 años;4
Total Nacional;Madrid, Comunidad de;Hombres;De 15 a 29 años;24
Total Nacional;Madrid, Comunidad de;Hombres;De 30 a 39 años;36
Total Nacional;Madrid, Comunidad de;Hombres;De 40 a 44 años;23
Total Nacional;Madrid, Comunidad de;Hombres;De 45 a 49 años;26
Total Nacional;Madrid, Comunidad de;Hombres;De 50 a 54 años;29
Total Nacional;Madrid, Comunidad de;Hombres;De 55 a 59 años;24
Total Nacional;Madrid, Comunidad de;Hombres;De 60 a 64 años;11
Total Nacional;Madrid, Comunidad de;Hombres;De 65 a 69 años;16
Total Nacional;Madrid, Comunidad de;Hombres;De 70 a 74 años;12
Total Nacional;Madrid, Comunidad de;Hombres;De 75 a 79 años;16
Total Nacional;Madrid, Comunidad de;Hombres;De 80 a 84 años;9
Total Nacional;Madrid, Comunidad de;Hombres;De 85 a 89 años;10
Total Nacional;Madrid, Comunidad de;Hombres;De 90 a 94 años;10
Total Nacional;Madrid, Comunidad de;Hombres;De 95 años y más;3
Total Nacional;Madrid, Comunidad de;Mujeres;Todas las edades;95
Total Nacional;Madrid, Comunidad de;Mujeres;Menores de 15 años;1
Total Nacional;Madrid, Comunidad de;Mujeres;De 15 a 29 años;9
Total Nacional;Madrid, Comunidad de;Mujeres;De 30 a 39 años;11
Total Nacional;Madrid, Comunidad de;Mujeres;De 40 a 44 años;5
Total Nacional;Madrid, Comunidad de;Mujeres;De 45 a 49 años;12
Total Nacional;Madrid, Comunidad de;Mujeres;De 50 a 54 años;10
Total Nacional;Madrid, Comunidad de;Mujeres;De 55 a 59 años;10
Total Nacional;Madrid, Comunidad de;Mujeres;De 60 a 64 años;8
Total Nacional;Madrid, Comunidad de;Mujeres;De 65 a 69 años;8
Total Nacional;Madrid, Comunidad de;Mujeres;De 70 a 74 años;5
Total Nacional;Madrid, Comunidad de;Mujeres;De 75 a 79 años;4
Total Nacional;Madrid, Comunidad de;Mujeres;De 80 a 84 años;5
Total Nacional;Madrid, Comunidad de;Mujeres;De 85 a 89 años;4
Total Nacional;Madrid, Comunidad de;Mujeres;De 90 a 94 años;2
Total Nacional;Madrid, Comunidad de;Mujeres;De 95 años y más;1
Total Nacional;Murcia, Región de;Ambos sexos;Todas las edades;123
Total Nacional;Murcia, Región de;Ambos sexos;Menores de 15 años;3
Total Nacional;Murcia, Región de;Ambos sexos;De 15 a 29 años;18
Total Nacional;Murcia, Región de;Ambos sexos;De 30 a 39 años;9
Total Nacional;Murcia, Región de;Ambos sexos;De 40 a 44 años;10
Total Nacional;Murcia, Región de;Ambos sexos;De 45 a 49 años;12
Total Nacional;Murcia, Región de;Ambos sexos;De 50 a 54 años;19
Total Nacional;Murcia, Región de;Ambos sexos;De 55 a 59 años;15
Total Nacional;Murcia, Región de;Ambos sexos;De 60 a 64 años;7
Total Nacional;Murcia, Región de;Ambos sexos;De 65 a 69 años;4
Total Nacional;Murcia, Región de;Ambos sexos;De 70 a 74 años;5
Total Nacional;Murcia, Región de;Ambos sexos;De 75 a 79 años;8
Total Nacional;Murcia, Región de;Ambos sexos;De 80 a 84 años;7
Total Nacional;Murcia, Región de;Ambos sexos;De 85 a 89 años;4
Total Nacional;Murcia, Región de;Ambos sexos;De 90 a 94 años;2
Total Nacional;Murcia, Región de;Ambos sexos;De 95 años y más;0
Total Nacional;Murcia, Región de;Hombres;Todas las edades;94
Total Nacional;Murcia, Región de;Hombres;Menores de 15 años;2
Total Nacional;Murcia, Región de;Hombres;De 15 a 29 años;14
Total Nacional;Murcia, Región de;Hombres;De 30 a 39 años;6
Total Nacional;Murcia, Región de;Hombres;De 40 a 44 años;7
Total Nacional;Murcia, Región de;Hombres;De 45 a 49 años;8
Total Nacional;Murcia, Región de;Hombres;De 50 a 54 años;15
Total Nacional;Murcia, Región de;Hombres;De 55 a 59 años;10
Total Nacional;Murcia, Región de;Hombres;De 60 a 64 años;6
Total Nacional;Murcia, Región de;Hombres;De 65 a 69 años;4
Total Nacional;Murcia, Región de;Hombres;De 70 a 74 años;4
Total Nacional;Murcia, Región de;Hombres;De 75 a 79 años;7
Total Nacional;Murcia, Región de;Hombres;De 80 a 84 años;7
Total Nacional;Murcia, Región de;Hombres;De 85 a 89 años;2
Total Nacional;Murcia, Región de;Hombres;De 90 a 94 años;2
Total Nacional;Murcia, Región de;Hombres;De 95 años y más;0
Total Nacional;Murcia, Región de;Mujeres;Todas las edades;29
Total Nacional;Murcia, Región de;Mujeres;Menores de 15 años;1
Total Nacional;Murcia, Región de;Mujeres;De 15 a 29 años;4
Total Nacional;Murcia, Región de;Mujeres;De 30 a 39 años;3
Total Nacional;Murcia, Región de;Mujeres;De 40 a 44 años;3
Total Nacional;Murcia, Región de;Mujeres;De 45 a 49 años;4
Total Nacional;Murcia, Región de;Mujeres;De 50 a 54 años;4
Total Nacional;Murcia, Región de;Mujeres;De 55 a 59 años;5
Total Nacional;Murcia, Región de;Mujeres;De 60 a 64 años;1
Total Nacional;Murcia, Región de;Mujeres;De 65 a 69 años;0
Total Nacional;Murcia, Región de;Mujeres;De 70 a 74 años;1
Total Nacional;Murcia, Región de;Mujeres;De 75 a 79 años;1
Total Nacional;Murcia, Región de;Mujeres;De 80 a 84 años;0
Total Nacional;Murcia, Región de;Mujeres;De 85 a 89 años;2
Total Nacional;Murcia, Región de;Mujeres;De 90 a 94 años;0
Total Nacional;Murcia, Región de;Mujeres;De 95 años y más;0
Total Nacional;Navarra, Comunidad Foral de;Ambos sexos;Todas las edades;60
Total Nacional;Navarra, Comunidad Foral de;Ambos sexos;Menores de 15 años;1
Total Nacional;Navarra, Comunidad Foral de;Ambos sexos;De 15 a 29 años;9
Total Nacional;Navarra, Comunidad Foral de;Ambos sexos;De 30 a 39 años;4
Total Nacional;Navarra, Comunidad Foral de;Ambos sexos;De 40 a 44 años;6
Total Nacional;Navarra, Comunidad Foral de;Ambos sexos;De 45 a 49 años;10
Total Nacional;Navarra, Comunidad Foral de;Ambos sexos;De 50 a 54 años;8
Total Nacional;Navarra, Comunidad Foral de;Ambos sexos;De 55 a 59 años;3
Total Nacional;Navarra, Comunidad Foral de;Ambos sexos;De 60 a 64 años;2
Total Nacional;Navarra, Comunidad Foral de;Ambos sexos;De 65 a 69 años;5
Total Nacional;Navarra, Comunidad Foral de;Ambos sexos;De 70 a 74 años;2
Total Nacional;Navarra, Comunidad Foral de;Ambos sexos;De 75 a 79 años;3
Total Nacional;Navarra, Comunidad Foral de;Ambos sexos;De 80 a 84 años;2
Total Nacional;Navarra, Comunidad Foral de;Ambos sexos;De 85 a 89 años;3
Total Nacional;Navarra, Comunidad Foral de;Ambos sexos;De 90 a 94 años;2
Total Nacional;Navarra, Comunidad Foral de;Ambos sexos;De 95 años y más;0
Total Nacional;Navarra, Comunidad Foral de;Hombres;Todas las edades;38
Total Nacional;Navarra, Comunidad Foral de;Hombres;Menores de 15 años;0
Total Nacional;Navarra, Comunidad Foral de;Hombres;De 15 a 29 años;8
Total Nacional;Navarra, Comunidad Foral de;Hombres;De 30 a 39 años;2
Total Nacional;Navarra, Comunidad Foral de;Hombres;De 40 a 44 años;4
Total Nacional;Navarra, Comunidad Foral de;Hombres;De 45 a 49 años;7
Total Nacional;Navarra, Comunidad Foral de;Hombres;De 50 a 54 años;4
Total Nacional;Navarra, Comunidad Foral de;Hombres;De 55 a 59 años;1
Total Nacional;Navarra, Comunidad Foral de;Hombres;De 60 a 64 años;1
Total Nacional;Navarra, Comunidad Foral de;Hombres;De 65 a 69 años;2
Total Nacional;Navarra, Comunidad Foral de;Hombres;De 70 a 74 años;1
Total Nacional;Navarra, Comunidad Foral de;Hombres;De 75 a 79 años;3
Total Nacional;Navarra, Comunidad Foral de;Hombres;De 80 a 84 años;2
Total Nacional;Navarra, Comunidad Foral de;Hombres;De 85 a 89 años;2
Total Nacional;Navarra, Comunidad Foral de;Hombres;De 90 a 94 años;1
Total Nacional;Navarra, Comunidad Foral de;Hombres;De 95 años y más;0
Total Nacional;Navarra, Comunidad Foral de;Mujeres;Todas las edades;22
Total Nacional;Navarra, Comunidad Foral de;Mujeres;Menores de 15 años;1
Total Nacional;Navarra, Comunidad Foral de;Mujeres;De 15 a 29 años;1
Total Nacional;Navarra, Comunidad Foral de;Mujeres;De 30 a 39 años;2
Total Nacional;Navarra, Comunidad Foral de;Mujeres;De 40 a 44 años;2
Total Nacional;Navarra, Comunidad Foral de;Mujeres;De 45 a 49 años;3
Total Nacional;Navarra, Comunidad Foral de;Mujeres;De 50 a 54 años;4
Total Nacional;Navarra, Comunidad Foral de;Mujeres;De 55 a 59 años;2
Total Nacional;Navarra, Comunidad Foral de;Mujeres;De 60 a 64 años;1
Total Nacional;Navarra, Comunidad Foral de;Mujeres;De 65 a 69 años;3
Total Nacional;Navarra, Comunidad Foral de;Mujeres;De 70 a 74 años;1
Total Nacional;Navarra, Comunidad Foral de;Mujeres;De 75 a 79 años;0
Total Nacional;Navarra, Comunidad Foral de;Mujeres;De 80 a 84 años;0
Total Nacional;Navarra, Comunidad Foral de;Mujeres;De 85 a 89 años;1
Total Nacional;Navarra, Comunidad Foral de;Mujeres;De 90 a 94 años;1
Total Nacional;Navarra, Comunidad Foral de;Mujeres;De 95 años y más;0
Total Nacional;País Vasco;Ambos sexos;Todas las edades;147
Total Nacional;País Vasco;Ambos sexos;Menores de 15 años;1
Total Nacional;País Vasco;Ambos sexos;De 15 a 29 años;13
Total Nacional;País Vasco;Ambos sexos;De 30 a 39 años;12
Total Nacional;País Vasco;Ambos sexos;De 40 a 44 años;15
Total Nacional;País Vasco;Ambos sexos;De 45 a 49 años;12
Total Nacional;País Vasco;Ambos sexos;De 50 a 54 años;13
Total Nacional;País Vasco;Ambos sexos;De 55 a 59 años;21
Total Nacional;País Vasco;Ambos sexos;De 60 a 64 años;13
Total Nacional;País Vasco;Ambos sexos;De 65 a 69 años;5
Total Nacional;País Vasco;Ambos sexos;De 70 a 74 años;11
Total Nacional;País Vasco;Ambos sexos;De 75 a 79 años;10
Total Nacional;País Vasco;Ambos sexos;De 80 a 84 años;7
Total Nacional;País Vasco;Ambos sexos;De 85 a 89 años;11
Total Nacional;País Vasco;Ambos sexos;De 90 a 94 años;2
Total Nacional;País Vasco;Ambos sexos;De 95 años y más;1
Total Nacional;País Vasco;Hombres;Todas las edades;106
Total Nacional;País Vasco;Hombres;Menores de 15 años;1
Total Nacional;País Vasco;Hombres;De 15 a 29 años;11
Total Nacional;País Vasco;Hombres;De 30 a 39 años;11
Total Nacional;País Vasco;Hombres;De 40 a 44 años;11
Total Nacional;País Vasco;Hombres;De 45 a 49 años;9
Total Nacional;País Vasco;Hombres;De 50 a 54 años;7
Total Nacional;País Vasco;Hombres;De 55 a 59 años;13
Total Nacional;País Vasco;Hombres;De 60 a 64 años;9
Total Nacional;País Vasco;Hombres;De 65 a 69 años;3
Total Nacional;País Vasco;Hombres;De 70 a 74 años;7
Total Nacional;País Vasco;Hombres;De 75 a 79 años;7
Total Nacional;País Vasco;Hombres;De 80 a 84 años;6
Total Nacional;País Vasco;Hombres;De 85 a 89 años;8
Total Nacional;País Vasco;Hombres;De 90 a 94 años;2
Total Nacional;País Vasco;Hombres;De 95 años y más;1
Total Nacional;País Vasco;Mujeres;Todas las edades;41
Total Nacional;País Vasco;Mujeres;Menores de 15 años;0
Total Nacional;País Vasco;Mujeres;De 15 a 29 años;2
Total Nacional;País Vasco;Mujeres;De 30 a 39 años;1
Total Nacional;País Vasco;Mujeres;De 40 a 44 años;4
Total Nacional;País Vasco;Mujeres;De 45 a 49 años;3
Total Nacional;País Vasco;Mujeres;De 50 a 54 años;6
Total Nacional;País Vasco;Mujeres;De 55 a 59 años;8
Total Nacional;País Vasco;Mujeres;De 60 a 64 años;4
Total Nacional;País Vasco;Mujeres;De 65 a 69 años;2
Total Nacional;País Vasco;Mujeres;De 70 a 74 años;4
Total Nacional;País Vasco;Mujeres;De 75 a 79 años;3
Total Nacional;País Vasco;Mujeres;De 80 a 84 años;1
Total Nacional;País Vasco;Mujeres;De 85 a 89 años;3
Total Nacional;País Vasco;Mujeres;De 90 a 94 años;0
Total Nacional;País Vasco;Mujeres;De 95 años y más;0
Total Nacional;Rioja, La;Ambos sexos;Todas las edades;24
Total Nacional;Rioja, La;Ambos sexos;Menores de 15 años;0
Total Nacional;Rioja, La;Ambos sexos;De 15 a 29 años;0
Total Nacional;Rioja, La;Ambos sexos;De 30 a 39 años;3
Total Nacional;Rioja, La;Ambos sexos;De 40 a 44 años;4
Total Nacional;Rioja, La;Ambos sexos;De 45 a 49 años;6
Total Nacional;Rioja, La;Ambos sexos;De 50 a 54 años;0
Total Nacional;Rioja, La;Ambos sexos;De 55 a 59 años;3
Total Nacional;Rioja, La;Ambos sexos;De 60 a 64 años;2
Total Nacional;Rioja, La;Ambos sexos;De 65 a 69 años;1
Total Nacional;Rioja, La;Ambos sexos;De 70 a 74 años;2
Total Nacional;Rioja, La;Ambos sexos;De 75 a 79 años;0
Total Nacional;Rioja, La;Ambos sexos;De 80 a 84 años;2
Total Nacional;Rioja, La;Ambos sexos;De 85 a 89 años;0
Total Nacional;Rioja, La;Ambos sexos;De 90 a 94 años;1
Total Nacional;Rioja, La;Ambos sexos;De 95 años y más;0
Total Nacional;Rioja, La;Hombres;Todas las edades;18
Total Nacional;Rioja, La;Hombres;Menores de 15 años;0
Total Nacional;Rioja, La;Hombres;De 15 a 29 años;0
Total Nacional;Rioja, La;Hombres;De 30 a 39 años;3
Total Nacional;Rioja, La;Hombres;De 40 a 44 años;4
Total Nacional;Rioja, La;Hombres;De 45 a 49 años;3
Total Nacional;Rioja, La;Hombres;De 50 a 54 años;0
Total Nacional;Rioja, La;Hombres;De 55 a 59 años;2
Total Nacional;Rioja, La;Hombres;De 60 a 64 años;1
Total Nacional;Rioja, La;Hombres;De 65 a 69 años;1
Total Nacional;Rioja, La;Hombres;De 70 a 74 años;2
Total Nacional;Rioja, La;Hombres;De 75 a 79 años;0
Total Nacional;Rioja, La;Hombres;De 80 a 84 años;2
Total Nacional;Rioja, La;Hombres;De 85 a 89 años;0
Total Nacional;Rioja, La;Hombres;De 90 a 94 años;0
Total Nacional;Rioja, La;Hombres;De 95 años y más;0
Total Nacional;Rioja, La;Mujeres;Todas las edades;6
Total Nacional;Rioja, La;Mujeres;Menores de 15 años;0
Total Nacional;Rioja, La;Mujeres;De 15 a 29 años;0
Total Nacional;Rioja, La;Mujeres;De 30 a 39 años;0
Total Nacional;Rioja, La;Mujeres;De 40 a 44 años;0
Total Nacional;Rioja, La;Mujeres;De 45 a 49 años;3
Total Nacional;Rioja, La;Mujeres;De 50 a 54 años;0
Total Nacional;Rioja, La;Mujeres;De 55 a 59 años;1
Total Nacional;Rioja, La;Mujeres;De 60 a 64 años;1
Total Nacional;Rioja, La;Mujeres;De 65 a 69 años;0
Total Nacional;Rioja, La;Mujeres;De 70 a 74 años;0
Total Nacional;Rioja, La;Mujeres;De 75 a 79 años;0
Total Nacional;Rioja, La;Mujeres;De 80 a 84 años;0
Total Nacional;Rioja, La;Mujeres;De 85 a 89 años;0
Total Nacional;Rioja, La;Mujeres;De 90 a 94 años;1
Total Nacional;Rioja, La;Mujeres;De 95 años y más;0
Total Nacional;Ceuta;Ambos sexos;Todas las edades;4
Total Nacional;Ceuta;Ambos sexos;Menores de 15 años;0
Total Nacional;Ceuta;Ambos sexos;De 15 a 29 años;0
Total Nacional;Ceuta;Ambos sexos;De 30 a 39 años;0
Total Nacional;Ceuta;Ambos sexos;De 40 a 44 años;0
Total Nacional;Ceuta;Ambos sexos;De 45 a 49 años;2
Total Nacional;Ceuta;Ambos sexos;De 50 a 54 años;0
Total Nacional;Ceuta;Ambos sexos;De 55 a 59 años;0
Total Nacional;Ceuta;Ambos sexos;De 60 a 64 años;1
Total Nacional;Ceuta;Ambos sexos;De 65 a 69 años;0
Total Nacional;Ceuta;Ambos sexos;De 70 a 74 años;0
Total Nacional;Ceuta;Ambos sexos;De 75 a 79 años;1
Total Nacional;Ceuta;Ambos sexos;De 80 a 84 años;0
Total Nacional;Ceuta;Ambos sexos;De 85 a 89 años;0
Total Nacional;Ceuta;Ambos sexos;De 90 a 94 años;0
Total Nacional;Ceuta;Ambos sexos;De 95 años y más;0
Total Nacional;Ceuta;Hombres;Todas las edades;2
Total Nacional;Ceuta;Hombres;Menores de 15 años;0
Total Nacional;Ceuta;Hombres;De 15 a 29 años;0
Total Nacional;Ceuta;Hombres;De 30 a 39 años;0
Total Nacional;Ceuta;Hombres;De 40 a 44 años;0
Total Nacional;Ceuta;Hombres;De 45 a 49 años;1
Total Nacional;Ceuta;Hombres;De 50 a 54 años;0
Total Nacional;Ceuta;Hombres;De 55 a 59 años;0
Total Nacional;Ceuta;Hombres;De 60 a 64 años;1
Total Nacional;Ceuta;Hombres;De 65 a 69 años;0
Total Nacional;Ceuta;Hombres;De 70 a 74 años;0
