Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;Aragón;Mujeres;De 70 a 74 años;1
Total Nacional;Aragón;Mujeres;De 75 a 79 años;1
Total Nacional;Aragón;Mujeres;De 80 a 84 años;3
Total Nacional;Aragón;Mujeres;De 85 a 89 años;0
Total Nacional;Aragón;Mujeres;De 90 a 94 años;1
Total Nacional;Aragón;Mujeres;De 95 años y más;0
Total Nacional;Asturias, Principado de;Ambos sexos;Todas las edades;130
Total Nacional;Asturias, Principado de;Ambos sexos;Menores de 15 años;0
Total Nacional;Asturias, Principado de;Ambos sexos;De 15 a 29 años;8
Total Nacional;Asturias, Principado de;Ambos sexos;De 30 a 39 años;8
Total Nacional;Asturias, Principado de;Ambos sexos;De 40 a 44 años;13
Total Nacional;Asturias, Principado de;Ambos sexos;De 45 a 49 años;8
Total Nacional;Asturias, Principado de;Ambos sexos;De 50 a 54 años;17
Total Nacional;Asturias, Principado de;Ambos sexos;De 55 a 59 años;19
Total Nacional;Asturias, Principado de;Ambos sexos;De 60 a 64 años;11
Total Nacional;Asturias, Principado de;Ambos sexos;De 65 a 69 años;5
Total Nacional;Asturias, Principado de;Ambos sexos;De 70 a 74 años;11
Total Nacional;Asturias, Principado de;Ambos sexos;De 75 a 79 años;8
Total Nacional;Asturias, Principado de;Ambos sexos;De 80 a 84 años;10
Total Nacional;Asturias, Principado de;Ambos sexos;De 85 a 89 años;9
Total Nacional;Asturias, Principado de;Ambos sexos;De 90 a 94 años;2
Total Nacional;Asturias, Principado de;Ambos sexos;De 95 años y más;1
Total Nacional;Asturias, Principado de;Hombres;Todas las edades;90
Total Nacional;Asturias, Principado de;Hombres;Menores de 15 años;0
Total Nacional;Asturias, Principado de;Hombres;De 15 a 29 años;5
Total Nacional;Asturias, Principado de;Hombres;De 30 a 39 años;7
Total Nacional;Asturias, Principado de;Hombres;De 40 a 44 años;10
Total Nacional;Asturias, Principado de;Hombres;De 45 a 49 años;7
Total Nacional;Asturias, Principado de;Hombres;De 50 a 54 años;9
Total Nacional;Asturias, Principado de;Hombres;De 55 a 59 años;13
Total Nacional;Asturias, Principado de;Hombres;De 60 a 64 años;7
Total Nacional;Asturias, Principado de;Hombres;De 65 a 69 años;3
Total Nacional;Asturias, Principado de;Hombres;De 70 a 74 años;9
Total Nacional;Asturias, Principado de;Hombres;De 75 a 79 años;6
Total Nacional;Asturias, Principado de;Hombres;De 80 a 84 años;7
Total Nacional;Asturias, Principado de;Hombres;De 85 a 89 años;4
Total Nacional;Asturias, Principado de;Hombres;De 90 a 94 años;2
Total Nacional;Asturias, Principado de;Hombres;De 95 años y más;1
Total Nacional;Asturias, Principado de;Mujeres;Todas las edades;40
Total Nacional;Asturias, Principado de;Mujeres;Menores de 15 años;0
Total Nacional;Asturias, Principado de;Mujeres;De 15 a 29 años;3
Total Nacional;Asturias, Principado de;Mujeres;De 30 a 39 años;1
Total Nacional;Asturias, Principado de;Mujeres;De 40 a 44 años;3
Total Nacional;Asturias, Principado de;Mujeres;De 45 a 49 años;1
Total Nacional;Asturias, Principado de;Mujeres;De 50 a 54 años;8
Total Nacional;Asturias, Principado de;Mujeres;De 55 a 59 años;6
Total Nacional;Asturias, Principado de;Mujeres;De 60 a 64 años;4
Total Nacional;Asturias, Principado de;Mujeres;De 65 a 69 años;2
Total Nacional;Asturias, Principado de;Mujeres;De 70 a 74 años;2
Total Nacional;Asturias, Principado de;Mujeres;De 75 a 79 años;2
Total Nacional;Asturias, Principado de;Mujeres;De 80 a 84 años;3
Total Nacional;Asturias, Principado de;Mujeres;De 85 a 89 años;5
Total Nacional;Asturias, Principado de;Mujeres;De 90 a 94 años;0
Total Nacional;Asturias, Principado de;Mujeres;De 95 años y más;0
Total Nacional;Balears, Illes;Ambos sexos;Todas las edades;89
Total Nacional;Balears, Illes;Ambos sexos;Menores de 15 años;0
Total Nacional;Balears, Illes;Ambos sexos;De 15 a 29 años;8
Total Nacional;Balears, Illes;Ambos sexos;De 30 a 39 años;12
Total Nacional;Balears, Illes;Ambos sexos;De 40 a 44 años;10
Total Nacional;Balears, Illes;Ambos sexos;De 45 a 49 años;10
Total Nacional;Balears, Illes;Ambos sexos;De 50 a 54 años;12
Total Nacional;Balears, Illes;Ambos sexos;De 55 a 59 años;9
Total Nacional;Balears, Illes;Ambos sexos;De 60 a 64 años;9
Total Nacional;Balears, Illes;Ambos sexos;De 65 a 69 años;6
Total Nacional;Balears, Illes;Ambos sexos;De 70 a 74 años;4
Total Nacional;Balears, Illes;Ambos sexos;De 75 a 79 años;5
Total Nacional;Balears, Illes;Ambos sexos;De 80 a 84 años;0
Total Nacional;Balears, Illes;Ambos sexos;De 85 a 89 años;4
Total Nacional;Balears, Illes;Ambos sexos;De 90 a 94 años;0
Total Nacional;Balears, Illes;Ambos sexos;De 95 años y más;0
Total Nacional;Balears, Illes;Hombres;Todas las edades;67
Total Nacional;Balears, Illes;Hombres;Menores de 15 años;0
Total Nacional;Balears, Illes;Hombres;De 15 a 29 años;5
Total Nacional;Balears, Illes;Hombres;De 30 a 39 años;8
Total Nacional;Balears, Illes;Hombres;De 40 a 44 años;7
Total Nacional;Balears, Illes;Hombres;De 45 a 49 años;9
Total Nacional;Balears, Illes;Hombres;De 50 a 54 años;8
Total Nacional;Balears, Illes;Hombres;De 55 a 59 años;8
Total Nacional;Balears, Illes;Hombres;De 60 a 64 años;8
Total Nacional;Balears, Illes;Hombres;De 65 a 69 años;4
Total Nacional;Balears, Illes;Hombres;De 70 a 74 años;3
Total Nacional;Balears, Illes;Hombres;De 75 a 79 años;3
Total Nacional;Balears, Illes;Hombres;De 80 a 84 años;0
Total Nacional;Balears, Illes;Hombres;De 85 a 89 años;4
Total Nacional;Balears, Illes;Hombres;De 90 a 94 años;0
Total Nacional;Balears, Illes;Hombres;De 95 años y más;0
Total Nacional;Balears, Illes;Mujeres;Todas las edades;22
Total Nacional;Balears, Illes;Mujeres;Menores de 15 años;0
Total Nacional;Balears, Illes;Mujeres;De 15 a 29 años;3
Total Nacional;Balears, Illes;Mujeres;De 30 a 39 años;4
Total Nacional;Balears, Illes;Mujeres;De 40 a 44 años;3
Total Nacional;Balears, Illes;Mujeres;De 45 a 49 años;1
Total Nacional;Balears, Illes;Mujeres;De 50 a 54 años;4
Total Nacional;Balears, Illes;Mujeres;De 55 a 59 años;1
