Edad;Sexo;Total
Todas las edades;Ambos sexos;3.671
Todas las edades;Hombres;2.771
Todas las edades;Mujeres;900
Menores de 15 años;Ambos sexos;7
Menores de 15 años;Hombres;4
Menores de 15 años;Mujeres;3
De 15 a 29 años;Ambos sexos;309
De 15 a 29 años;Hombres;235
De 15 a 29 años;Mujeres;74
De 30 a 39 años;Ambos sexos;413
De 30 a 39 años;Hombres;314
De 30 a 39 años;Mujeres;99
De 40 a 44 años;Ambos sexos;342
De 40 a 44 años;Hombres;263
De 40 a 44 años;Mujeres;79
De 45 a 49 años;Ambos sexos;389
De 45 a 49 años;Hombres;310
De 45 a 49 años;Mujeres;79
De 50 a 54 años;Ambos sexos;411
De 50 a 54 años;Hombres;301
De 50 a 54 años;Mujeres;110
De 55 a 59 años;Ambos sexos;350
De 55 a 59 años;Hombres;260
De 55 a 59 años;Mujeres;90
De 60 a 64 años;Ambos sexos;293
De 60 a 64 años;Hombres;207
De 60 a 64 años;Mujeres;86
De 65 a 69 años;Ambos sexos;231
De 65 a 69 años;Hombres;172
De 65 a 69 años;Mujeres;59
De 70 a 74 años;Ambos sexos;240
De 70 a 74 años;Hombres;177
De 70 a 74 años;Mujeres;63
De 75 a 79 años;Ambos sexos;228
De 75 a 79 años;Hombres;171
De 75 a 79 años;Mujeres;57
De 80 a 84 años;Ambos sexos;214
De 80 a 84 años;Hombres;163
De 80 a 84 años;Mujeres;51
De 85 a 89 años;Ambos sexos;148
De 85 a 89 años;Hombres;118
De 85 a 89 años;Mujeres;30
De 90 a 94 años;Ambos sexos;81
De 90 a 94 años;Hombres;63
De 90 a 94 años;Mujeres;18
De 95 años y más;Ambos sexos;15
De 95 años y más;Hombres;13
De 95 años y más;Mujeres;2
