Comunidades y ciudades autónomas de residencia;Sexo;Edad;Total
Andalucía;Ambos sexos;Todas las edades;640
Andalucía;Ambos sexos;Menores de 15 años;0
Andalucía;Ambos sexos;De 15 a 29 años;46
Andalucía;Ambos sexos;De 30 a 39 años;78
Andalucía;Ambos sexos;De 40 a 44 años;69
Andalucía;Ambos sexos;De 45 a 49 años;74
Andalucía;Ambos sexos;De 50 a 54 años;75
Andalucía;Ambos sexos;De 55 a 59 años;51
Andalucía;Ambos sexos;De 60 a 64 años;58
Andalucía;Ambos sexos;De 65 a 69 años;41
Andalucía;Ambos sexos;De 70 a 74 años;45
Andalucía;Ambos sexos;De 75 a 79 años;43
Andalucía;Ambos sexos;De 80 a 84 años;33
Andalucía;Ambos sexos;De 85 a 89 años;15
Andalucía;Ambos sexos;De 90 a 94 años;11
Andalucía;Ambos sexos;De 95 años y más;1
Andalucía;Hombres;Todas las edades;478
Andalucía;Hombres;Menores de 15 años;0
Andalucía;Hombres;De 15 a 29 años;37
Andalucía;Hombres;De 30 a 39 años;59
Andalucía;Hombres;De 40 a 44 años;54
Andalucía;Hombres;De 45 a 49 años;60
Andalucía;Hombres;De 50 a 54 años;56
Andalucía;Hombres;De 55 a 59 años;33
Andalucía;Hombres;De 60 a 64 años;42
Andalucía;Hombres;De 65 a 69 años;29
Andalucía;Hombres;De 70 a 74 años;32
Andalucía;Hombres;De 75 a 79 años;29
Andalucía;Hombres;De 80 a 84 años;24
Andalucía;Hombres;De 85 a 89 años;13
Andalucía;Hombres;De 90 a 94 años;9
Andalucía;Hombres;De 95 años y más;1
Andalucía;Mujeres;Todas las edades;162
Andalucía;Mujeres;Menores de 15 años;0
Andalucía;Mujeres;De 15 a 29 años;9
Andalucía;Mujeres;De 30 a 39 años;19
Andalucía;Mujeres;De 40 a 44 años;15
Andalucía;Mujeres;De 45 a 49 años;14
Andalucía;Mujeres;De 50 a 54 años;19
Andalucía;Mujeres;De 55 a 59 años;18
Andalucía;Mujeres;De 60 a 64 años;16
Andalucía;Mujeres;De 65 a 69 años;12
Andalucía;Mujeres;De 70 a 74 años;13
Andalucía;Mujeres;De 75 a 79 años;14
Andalucía;Mujeres;De 80 a 84 años;9
Andalucía;Mujeres;De 85 a 89 años;2
Andalucía;Mujeres;De 90 a 94 años;2
Andalucía;Mujeres;De 95 años y más;0
Aragón;Ambos sexos;Todas las edades;109
Aragón;Ambos sexos;Menores de 15 años;0
Aragón;Ambos sexos;De 15 a 29 años;11
Aragón;Ambos sexos;De 30 a 39 años;11
Aragón;Ambos sexos;De 40 a 44 años;14
Aragón;Ambos sexos;De 45 a 49 años;11
Aragón;Ambos sexos;De 50 a 54 años;6
Aragón;Ambos sexos;De 55 a 59 años;11
Aragón;Ambos sexos;De 60 a 64 años;6
Aragón;Ambos sexos;De 65 a 69 años;11
Aragón;Ambos sexos;De 70 a 74 años;5
Aragón;Ambos sexos;De 75 a 79 años;7
Aragón;Ambos sexos;De 80 a 84 años;8
Aragón;Ambos sexos;De 85 a 89 años;6
Aragón;Ambos sexos;De 90 a 94 años;2
Aragón;Ambos sexos;De 95 años y más;0
Aragón;Hombres;Todas las edades;81
Aragón;Hombres;Menores de 15 años;0
Aragón;Hombres;De 15 a 29 años;8
Aragón;Hombres;De 30 a 39 años;7
Aragón;Hombres;De 40 a 44 años;10
Aragón;Hombres;De 45 a 49 años;10
Aragón;Hombres;De 50 a 54 años;6
Aragón;Hombres;De 55 a 59 años;8
Aragón;Hombres;De 60 a 64 años;4
Aragón;Hombres;De 65 a 69 años;9
Aragón;Hombres;De 70 a 74 años;1
Aragón;Hombres;De 75 a 79 años;5
Aragón;Hombres;De 80 a 84 años;8
Aragón;Hombres;De 85 a 89 años;3
Aragón;Hombres;De 90 a 94 años;2
Aragón;Hombres;De 95 años y más;0
Aragón;Mujeres;Todas las edades;28
Aragón;Mujeres;Menores de 15 años;0
Aragón;Mujeres;De 15 a 29 años;3
Aragón;Mujeres;De 30 a 39 años;4
Aragón;Mujeres;De 40 a 44 años;4
Aragón;Mujeres;De 45 a 49 años;1
Aragón;Mujeres;De 50 a 54 años;0
Aragón;Mujeres;De 55 a 59 años;3
Aragón;Mujeres;De 60 a 64 años;2
Aragón;Mujeres;De 65 a 69 años;2
Aragón;Mujeres;De 70 a 74 años;4
Aragón;Mujeres;De 75 a 79 años;2
Aragón;Mujeres;De 80 a 84 años;0
Aragón;Mujeres;De 85 a 89 años;3
Aragón;Mujeres;De 90 a 94 años;0
Aragón;Mujeres;De 95 años y más;0
Asturias, Principado de;Ambos sexos;Todas las edades;128
Asturias, Principado de;Ambos sexos;Menores de 15 años;0
Asturias, Principado de;Ambos sexos;De 15 a 29 años;7
Asturias, Principado de;Ambos sexos;De 30 a 39 años;12
Asturias, Principado de;Ambos sexos;De 40 a 44 años;7
Asturias, Principado de;Ambos sexos;De 45 a 49 años;12
Asturias, Principado de;Ambos sexos;De 50 a 54 años;14
Asturias, Principado de;Ambos sexos;De 55 a 59 años;14
Asturias, Principado de;Ambos sexos;De 60 a 64 años;8
Asturias, Principado de;Ambos sexos;De 65 a 69 años;5
Asturias, Principado de;Ambos sexos;De 70 a 74 años;7
Asturias, Principado de;Ambos sexos;De 75 a 79 años;11
Asturias, Principado de;Ambos sexos;De 80 a 84 años;10
Asturias, Principado de;Ambos sexos;De 85 a 89 años;9
Asturias, Principado de;Ambos sexos;De 90 a 94 años;10
Asturias, Principado de;Ambos sexos;De 95 años y más;2
Asturias, Principado de;Hombres;Todas las edades;97
Asturias, Principado de;Hombres;Menores de 15 años;0
Asturias, Principado de;Hombres;De 15 a 29 años;6
Asturias, Principado de;Hombres;De 30 a 39 años;8
Asturias, Principado de;Hombres;De 40 a 44 años;4
Asturias, Principado de;Hombres;De 45 a 49 años;11
Asturias, Principado de;Hombres;De 50 a 54 años;11
Asturias, Principado de;Hombres;De 55 a 59 años;10
Asturias, Principado de;Hombres;De 60 a 64 años;4
Asturias, Principado de;Hombres;De 65 a 69 años;5
Asturias, Principado de;Hombres;De 70 a 74 años;6
Asturias, Principado de;Hombres;De 75 a 79 años;7
Asturias, Principado de;Hombres;De 80 a 84 años;9
Asturias, Principado de;Hombres;De 85 a 89 años;6
Asturias, Principado de;Hombres;De 90 a 94 años;8
Asturias, Principado de;Hombres;De 95 años y más;2
Asturias, Principado de;Mujeres;Todas las edades;31
Asturias, Principado de;Mujeres;Menores de 15 años;0
Asturias, Principado de;Mujeres;De 15 a 29 años;1
Asturias, Principado de;Mujeres;De 30 a 39 años;4
Asturias, Principado de;Mujeres;De 40 a 44 años;3
Asturias, Principado de;Mujeres;De 45 a 49 años;1
Asturias, Principado de;Mujeres;De 50 a 54 años;3
Asturias, Principado de;Mujeres;De 55 a 59 años;4
Asturias, Principado de;Mujeres;De 60 a 64 años;4
Asturias, Principado de;Mujeres;De 65 a 69 años;0
Asturias, Principado de;Mujeres;De 70 a 74 años;1
Asturias, Principado de;Mujeres;De 75 a 79 años;4
Asturias, Principado de;Mujeres;De 80 a 84 años;1
Asturias, Principado de;Mujeres;De 85 a 89 años;3
Asturias, Principado de;Mujeres;De 90 a 94 años;2
Asturias, Principado de;Mujeres;De 95 años y más;0
Balears, Illes;Ambos sexos;Todas las edades;97
Balears, Illes;Ambos sexos;Menores de 15 años;1
Balears, Illes;Ambos sexos;De 15 a 29 años;8
Balears, Illes;Ambos sexos;De 30 a 39 años;13
Balears, Illes;Ambos sexos;De 40 a 44 años;11
Balears, Illes;Ambos sexos;De 45 a 49 años;13
Balears, Illes;Ambos sexos;De 50 a 54 años;13
Balears, Illes;Ambos sexos;De 55 a 59 años;9
Balears, Illes;Ambos sexos;De 60 a 64 años;5
Balears, Illes;Ambos sexos;De 65 a 69 años;5
Balears, Illes;Ambos sexos;De 70 a 74 años;4
Balears, Illes;Ambos sexos;De 75 a 79 años;8
Balears, Illes;Ambos sexos;De 80 a 84 años;6
Balears, Illes;Ambos sexos;De 85 a 89 años;0
Balears, Illes;Ambos sexos;De 90 a 94 años;1
Balears, Illes;Ambos sexos;De 95 años y más;0
Balears, Illes;Hombres;Todas las edades;71
Balears, Illes;Hombres;Menores de 15 años;1
Balears, Illes;Hombres;De 15 a 29 años;7
Balears, Illes;Hombres;De 30 a 39 años;11
Balears, Illes;Hombres;De 40 a 44 años;9
Balears, Illes;Hombres;De 45 a 49 años;11
Balears, Illes;Hombres;De 50 a 54 años;8
Balears, Illes;Hombres;De 55 a 59 años;7
Balears, Illes;Hombres;De 60 a 64 años;2
Balears, Illes;Hombres;De 65 a 69 años;2
Balears, Illes;Hombres;De 70 a 74 años;1
Balears, Illes;Hombres;De 75 a 79 años;6
Balears, Illes;Hombres;De 80 a 84 años;5
Balears, Illes;Hombres;De 85 a 89 años;0
Balears, Illes;Hombres;De 90 a 94 años;1
Balears, Illes;Hombres;De 95 años y más;0
Balears, Illes;Mujeres;Todas las edades;26
Balears, Illes;Mujeres;Menores de 15 años;0
Balears, Illes;Mujeres;De 15 a 29 años;1
Balears, Illes;Mujeres;De 30 a 39 años;2
Balears, Illes;Mujeres;De 40 a 44 años;2
Balears, Illes;Mujeres;De 45 a 49 años;2
Balears, Illes;Mujeres;De 50 a 54 años;5
Balears, Illes;Mujeres;De 55 a 59 años;2
Balears, Illes;Mujeres;De 60 a 64 años;3
Balears, Illes;Mujeres;De 65 a 69 años;3
Balears, Illes;Mujeres;De 70 a 74 años;3
Balears, Illes;Mujeres;De 75 a 79 años;2
